Datetime,Turbidity,Reading,Value,Unit,Data Quality
2025-05-10 15:40:34,32.98,2025-05-10 15:54:23,80.3,in,A
2025-05-10 15:55:34,33.06,2025-05-10 15:54:23,80.3,in,A
2025-05-10 16:40:34,33.82,2025-05-10 16:54:23,80.3,in,A
2025-05-10 16:55:34,33.41,2025-05-10 16:54:23,80.3,in,A
2025-05-10 17:40:35,32.84,2025-05-10 17:54:23,80.3,in,A
2025-05-11 06:55:40,31.52,2025-05-11 06:54:23,80.31,in,A
2025-05-11 07:39:28,32.62,2025-05-11 07:54:23,80.31,in,A
2025-05-11 07:40:40,32.62,2025-05-11 07:54:23,80.31,in,A
2025-05-11 07:55:40,31.97,2025-05-11 07:54:23,80.31,in,A
2025-05-11 08:40:40,33.9,2025-05-11 08:54:23,80.31,in,A
2025-05-11 08:55:40,32.26,2025-05-11 08:54:23,80.31,in,A
2025-05-11 09:40:40,31.0,2025-05-11 09:54:23,80.31,in,A
2025-05-11 09:55:40,30.77,2025-05-11 09:54:23,80.31,in,A
2025-05-11 10:40:41,32.92,2025-05-11 10:54:23,80.31,in,A
2025-05-11 10:55:41,31.53,2025-05-11 10:54:23,80.31,in,A
2025-05-11 11:40:40,32.0,2025-05-11 11:54:23,80.31,in,A
2025-05-11 11:55:41,32.76,2025-05-11 11:54:23,80.31,in,A
2025-05-11 12:40:40,32.41,2025-05-11 12:54:23,80.31,in,A
2025-05-11 12:55:40,30.79,2025-05-11 12:54:23,80.31,in,A
2025-05-11 13:40:40,32.11,2025-05-11 13:54:23,80.31,in,A
2025-05-11 13:55:40,30.17,2025-05-11 13:54:23,80.31,in,A
2025-05-11 14:40:41,30.96,2025-05-11 14:54:23,80.31,in,A
2025-05-11 14:55:41,32.39,2025-05-11 14:54:23,80.31,in,A
2025-05-11 15:40:40,33.84,2025-05-11 15:54:23,80.31,in,A
2025-05-11 15:45:16,33.84,2025-05-11 15:54:23,80.31,in,A
2025-05-11 15:50:49,33.84,2025-05-11 15:54:23,80.31,in,A
2025-05-11 15:55:40,31.62,2025-05-11 15:54:23,80.31,in,A
2025-05-11 16:40:41,32.56,2025-05-11 16:54:23,80.31,in,A
2025-05-11 16:55:41,30.57,2025-05-11 16:54:23,80.31,in,A
2025-05-11 17:40:41,31.21,2025-05-11 17:54:23,80.31,in,A
2025-05-12 06:55:44,31.09,2025-05-12 06:54:23,80.31,in,A
2025-05-12 07:40:44,30.63,2025-05-12 07:54:23,80.31,in,A
2025-05-12 07:55:44,31.53,2025-05-12 07:54:23,80.31,in,A
2025-05-12 08:40:45,30.68,2025-05-12 08:54:23,80.31,in,A
2025-05-12 08:55:45,31.89,2025-05-12 08:54:23,80.31,in,A
2025-05-12 09:40:46,31.17,2025-05-12 09:54:23,80.31,in,A
2025-05-12 09:55:46,31.0,2025-05-12 09:54:23,80.31,in,A
2025-05-12 10:40:46,31.67,2025-05-12 10:54:23,80.31,in,A
2025-05-12 10:55:46,32.0,2025-05-12 10:54:23,80.31,in,A
2025-05-12 11:40:47,32.73,2025-05-12 11:54:23,80.31,in,A
2025-05-12 11:55:47,32.12,2025-05-12 11:54:23,80.31,in,A
2025-05-12 12:40:47,31.89,2025-05-12 12:54:23,80.31,in,A
2025-05-12 12:55:48,32.19,2025-05-12 12:54:23,80.31,in,A
2025-05-12 13:40:47,31.2,2025-05-12 13:54:23,80.31,in,A
2025-05-12 13:55:47,31.44,2025-05-12 13:54:23,80.31,in,A
2025-05-12 14:40:48,31.63,2025-05-12 14:54:23,80.31,in,A
2025-05-12 14:55:48,32.1,2025-05-12 14:54:23,80.31,in,A
2025-05-12 15:40:48,31.72,2025-05-12 15:54:23,80.31,in,A
