Datetime,Turbidity,RoundedTime,Receive,Value,Unit,Data Quality
2025-05-08 16:10:25,36.27,2025-05-08 16:15:00,,,,
2025-05-08 16:19:22,36.27,2025-05-08 16:15:00,,,,
2025-05-08 16:25:25,35.84,2025-05-08 16:30:00,,,,
2025-05-08 16:40:25,36.64,2025-05-08 16:45:00,,,,
2025-05-08 17:10:25,34.9,2025-05-08 17:15:00,,,,
2025-05-08 17:25:25,33.8,2025-05-08 17:30:00,,,,
2025-05-08 17:40:25,37.37,2025-05-08 17:45:00,,,,
2025-05-08 17:44:09,37.37,2025-05-08 17:45:00,,,,
2025-05-09 06:55:28,32.46,2025-05-09 07:00:00,,,,
2025-05-09 07:10:29,32.49,2025-05-09 07:15:00,,,,
2025-05-09 07:25:29,33.63,2025-05-09 07:30:00,,,,
2025-05-09 07:40:28,34.33,2025-05-09 07:45:00,,,,
2025-05-09 07:55:28,33.64,2025-05-09 08:00:00,,,,
2025-05-09 08:10:28,32.77,2025-05-09 08:15:00,,,,
2025-05-09 08:25:28,33.81,2025-05-09 08:30:00,,,,
2025-05-09 08:40:28,32.77,2025-05-09 08:45:00,,,,
2025-05-09 08:55:28,33.11,2025-05-09 09:00:00,,,,
2025-05-09 09:10:28,33.33,2025-05-09 09:15:00,,,,
2025-05-09 09:25:28,32.11,2025-05-09 09:30:00,,,,
2025-05-09 09:40:28,32.37,2025-05-09 09:45:00,,,,
2025-05-09 09:55:28,33.45,2025-05-09 10:00:00,,,,
2025-05-09 10:10:29,34.18,2025-05-09 10:15:00,,,,
2025-05-09 10:25:29,33.85,2025-05-09 10:30:00,,,,
2025-05-09 10:40:29,33.07,2025-05-09 10:45:00,,,,
2025-05-09 10:55:29,33.14,2025-05-09 11:00:00,,,,
2025-05-09 11:10:29,32.47,2025-05-09 11:15:00,,,,
2025-05-09 11:25:29,33.4,2025-05-09 11:30:00,,,,
2025-05-09 11:40:29,33.26,2025-05-09 11:45:00,,,,
2025-05-09 12:10:29,32.75,2025-05-09 12:15:00,,,,
2025-05-09 12:25:29,33.14,2025-05-09 12:30:00,,,,
2025-05-09 12:40:29,33.58,2025-05-09 12:45:00,,,,
2025-05-09 12:55:29,31.94,2025-05-09 13:00:00,,,,
2025-05-09 13:10:30,33.04,2025-05-09 13:15:00,,,,
2025-05-09 13:25:29,33.56,2025-05-09 13:30:00,,,,
2025-05-09 13:40:29,34.05,2025-05-09 13:45:00,,,,
2025-05-09 13:55:29,33.65,2025-05-09 14:00:00,,,,
2025-05-09 14:10:29,35.02,2025-05-09 14:15:00,,,,
2025-05-09 14:25:29,34.18,2025-05-09 14:30:00,,,,
2025-05-09 14:40:29,34.4,2025-05-09 14:45:00,,,,
2025-05-09 14:55:30,33.81,2025-05-09 15:00:00,,,,
